country,age,population,gender,year
China,0-4,  39 707,male,2021
China,  45 421,  48 525,male,2021
China,  45 579,  46 723,male,2021
China,15-19,  42 898,male,2021
China,20-24,  43 609,male,2021
China,25-29,  49 242,male,2021
China,30-34,  64 179,male,2021
China,35-39,  55 289,male,2021
China,40-44,  47 932,male,2021
China,45-49,  56 169,male,2021
China,50-54,  60 905,male,2021
China,55-59,  53 580,male,2021
China,60-64,  34 365,male,2021
China,65-69,  35 227,male,2021
China,70-74,  23 276,male,2021
China,75-79,  13 510,male,2021
China,80-84,  8 086,male,2021
China,85-89,  3 721,male,2021
China,90-94,   992,male,2021
China,95+,   118,male,2021
China,0-4,  35 082,female,2021
China,  45 421,  41 983,female,2021
China,  45 579,  39 907,female,2021
China,15-19,  36 610,female,2021
China,20-24,  37 632,female,2021
China,25-29,  43 545,female,2021
China,30-34,  58 625,female,2021
China,35-39,  51 884,female,2021
China,40-44,  45 693,female,2021
China,45-49,  54 349,female,2021
China,50-54,  60 091,female,2021
China,55-59,  54 039,female,2021
China,60-64,  35 829,female,2021
China,65-69,  38 993,female,2021
China,70-74,  26 887,female,2021
China,75-79,  16 421,female,2021
China,80-84,  11 068,female,2021
China,85-89,  6 378,female,2021
China,90-94,  2 324,female,2021
China,95+,   503,female,2021
Japan,0-4,  2 192,male,2021
Japan,  45 421,  2 568,male,2021
Japan,  45 579,  2 743,male,2021
Japan,15-19,  2 866,male,2021
Japan,20-24,  3 086,male,2021
Japan,25-29,  3 117,male,2021
Japan,30-34,  3 272,male,2021
Japan,35-39,  3 579,male,2021
Japan,40-44,  4 091,male,2021
Japan,45-49,  4 865,male,2021
Japan,50-54,  4 446,male,2021
Japan,55-59,  3 929,male,2021
Japan,60-64,  3 623,male,2021
Japan,65-69,  3 776,male,2021
Japan,70-74,  4 564,male,2021
Japan,75-79,  3 184,male,2021
Japan,80-84,  2 425,male,2021
Japan,85-89,  1 469,male,2021
Japan,90-94,   609,male,2021
Japan,95+,   163,male,2021
Japan,0-4,  2 095,female,2021
Japan,  45 421,  2 454,female,2021
Japan,  45 579,  2 620,female,2021
Japan,15-19,  2 736,female,2021
Japan,20-24,  2 950,female,2021
Japan,25-29,  2 972,female,2021
Japan,30-34,  3 132,female,2021
Japan,35-39,  3 465,female,2021
Japan,40-44,  3 975,female,2021
Japan,45-49,  4 749,female,2021
Japan,50-54,  4 387,female,2021
Japan,55-59,  3 906,female,2021
Japan,60-64,  3 677,female,2021
Japan,65-69,  3 980,female,2021
Japan,70-74,  5 058,female,2021
Japan,75-79,  3 875,female,2021
Japan,80-84,  3 304,female,2021
Japan,85-89,  2 554,female,2021
Japan,90-94,  1 468,female,2021
Japan,95+,   690,female,2021
United Kingdom,0-4,  1 874,male,2021
United Kingdom,  45 421,  2 105,male,2021
United Kingdom,  45 579,  2 114,male,2021
United Kingdom,15-19,  1 925,male,2021
United Kingdom,20-24,  2 074,male,2021
United Kingdom,25-29,  2 271,male,2021
United Kingdom,30-34,  2 286,male,2021
United Kingdom,35-39,  2 187,male,2021
